walk_idx,ta_ns,tb_ns
0,10026976,10026976
1,10186391,10186391
2,9973251,9973251
3,9887268,9887268
4,10106384,10106384
5,9841220,9841220
6,10137626,10137626
7,10158517,10158517
8,9942159,9942159
9,9952385,9952385
10,10138636,10138636
11,10135305,10135305
12,10085326,10085326
13,9920478,9920478
14,10173542,10173542
15,9757066,9757066
16,9926698,9926698
17,10090864,10090864
18,10055074,10055074
19,9905645,9905645
20,9905352,9905352
21,9786216,9786216
22,9883217,9883217
23,9900191,9900191
24,9977430,9977430
25,10030299,10030299
26,10140926,10140926
27,9748446,9748446
28,9865790,9865790
29,10005953,10005953
30,10043279,10043279
31,10249134,10249134
32,9896256,9896256
33,9941136,9941136
34,9831842,9831842
35,9979370,9979370
36,10053904,10053904
37,9983052,9983052
38,10151905,10151905
39,10022485,10022485
40,9828612,9828612
41,10026543,10026543
42,9873697,9873697
43,9821527,9821527
44,9969046,9969046
45,9909769,9909769
46,10144348,10144348
47,10107614,10107614
48,9936795,9936795
49,10132771,10132771
50,9947263,9947263
51,9834731,9834731
52,9916872,9916872
53,9898135,9898135
54,9836757,9836757
55,10077664,10077664
56,10005672,10005672
57,9978207,9978207
58,9947129,9947129
59,10022732,10022732
60,10007206,10007206
61,10145969,10145969
62,9972344,9972344
63,9985769,9985769
64,9854004,9854004
65,10026108,10026108
66,9866381,9866381
67,9915717,9915717
68,9745302,9745302
69,10092793,10092793
70,10002565,10002565
71,9900564,9900564
72,10073881,10073881
73,9987846,9987846
74,10129772,10129772
75,9851653,9851653
76,10319229,10319229
77,10080771,10080771
78,10235427,10235427
79,10001993,10001993
80,9812244,9812244
81,9985304,9985304
82,9976825,9976825
83,10073352,10073352
84,9862723,9862723
85,9744830,9744830
86,9991414,9991414
87,9911184,9911184
88,10418678,10418678
89,10170863,10170863
90,9877535,9877535
91,9967670,9967670
92,9763407,9763407
93,10027628,10027628
94,10170693,10170693
95,9953106,9953106
96,9983903,9983903
97,10062568,10062568
98,10069592,10069592
99,9966187,9966187
