walk_idx,ta_ns,tb_ns
0,1022,1022
1,996,996
2,989,989
3,994,994
4,1005,1005
5,1015,1015
6,993,993
7,1037,1037
8,992,992
9,994,994
10,1000,1000
11,1021,1021
12,1014,1014
13,998,998
14,1028,1028
15,980,980
16,989,989
17,1027,1027
18,998,998
19,983,983
20,1011,1011
21,1009,1009
22,1000,1000
23,1021,1021
24,999,999
25,979,979
26,992,992
27,982,982
28,1005,1005
29,1013,1013
30,983,983
31,1005,1005
32,993,993
33,999,999
34,998,998
35,1003,1003
36,1005,1005
37,995,995
38,998,998
39,1025,1025
40,989,989
41,1011,1011
42,998,998
43,1000,1000
44,1004,1004
45,1007,1007
46,984,984
47,1009,1009
48,1031,1031
49,998,998
50,982,982
51,986,986
52,983,983
53,1012,1012
54,963,963
55,1013,1013
56,998,998
57,1005,1005
58,1000,1000
59,1020,1020
60,979,979
61,985,985
62,1011,1011
63,1023,1023
64,997,997
65,999,999
66,976,976
67,995,995
68,1015,1015
69,1003,1003
70,985,985
71,1010,1010
72,1000,1000
73,1004,1004
74,983,983
75,1013,1013
76,992,992
77,991,991
78,1003,1003
79,1011,1011
80,1011,1011
81,991,991
82,992,992
83,975,975
84,998,998
85,982,982
86,996,996
87,998,998
88,995,995
89,1020,1020
90,998,998
91,1032,1032
92,1025,1025
93,1005,1005
94,1011,1011
95,979,979
96,994,994
97,1001,1001
98,1000,1000
99,1000,1000
