walk_idx,ta_ns,tb_ns
0,987,987
1,983,983
2,1003,1003
3,973,973
4,998,998
5,1015,1015
6,994,994
7,979,979
8,978,978
9,991,991
10,1012,1012
11,1003,1003
12,1033,1033
13,1008,1008
14,1014,1014
15,1002,1002
16,988,988
17,1017,1017
18,987,987
19,1007,1007
20,993,993
21,999,999
22,967,967
23,993,993
24,1007,1007
25,991,991
26,967,967
27,999,999
28,994,994
29,983,983
30,971,971
31,1008,1008
32,990,990
33,993,993
34,1002,1002
35,1023,1023
36,1002,1002
37,988,988
38,1017,1017
39,1007,1007
40,1005,1005
41,1007,1007
42,1008,1008
43,1016,1016
44,999,999
45,1016,1016
46,1012,1012
47,987,987
48,1031,1031
49,1007,1007
50,1019,1019
51,1028,1028
52,996,996
53,1029,1029
54,987,987
55,1017,1017
56,985,985
57,986,986
58,1017,1017
59,1029,1029
60,990,990
61,986,986
62,1019,1019
63,997,997
64,1007,1007
65,1022,1022
66,988,988
67,997,997
68,1002,1002
69,992,992
70,996,996
71,1007,1007
72,999,999
73,998,998
74,1003,1003
75,995,995
76,1012,1012
77,982,982
78,982,982
79,990,990
80,985,985
81,985,985
82,973,973
83,991,991
84,1023,1023
85,1013,1013
86,1001,1001
87,1023,1023
88,983,983
89,999,999
90,997,997
91,994,994
92,1004,1004
93,1006,1006
94,1000,1000
95,993,993
96,970,970
97,995,995
98,994,994
99,1014,1014
