walk_idx,ta_ns,tb_ns
0,9970461,9970461
1,9871036,9871036
2,10086732,10086732
3,10284644,10284644
4,9980894,9980894
5,9855229,9855229
6,10124849,10124849
7,10082172,10082172
8,10226437,10226437
9,9789002,9789002
10,10068148,10068148
11,9986978,9986978
12,9876791,9876791
13,9949005,9949005
14,10007163,10007163
15,10336055,10336055
16,10126271,10126271
17,9600893,9600893
18,10311930,10311930
19,9842474,9842474
20,9917883,9917883
21,10035832,10035832
22,9946886,9946886
23,9865826,9865826
24,9893999,9893999
25,9981121,9981121
26,9961373,9961373
27,10033710,10033710
28,10171542,10171542
29,9765687,9765687
30,9966069,9966069
31,9901317,9901317
32,10080726,10080726
33,10144711,10144711
34,9997929,9997929
35,9984783,9984783
36,9862701,9862701
37,10212531,10212531
38,10029053,10029053
39,9709239,9709239
40,9948937,9948937
41,10107450,10107450
42,9873780,9873780
43,10066138,10066138
44,9898261,9898261
45,9990013,9990013
46,9951822,9951822
47,10113390,10113390
48,10049811,10049811
49,9689999,9689999
50,10269299,10269299
51,9886371,9886371
52,9992001,9992001
53,9866187,9866187
54,10000254,10000254
55,10144106,10144106
56,9938358,9938358
57,9800273,9800273
58,10035458,10035458
59,10079716,10079716
60,10096252,10096252
61,10049430,10049430
62,9958965,9958965
63,10031098,10031098
64,10109475,10109475
65,10020834,10020834
66,10005220,10005220
67,10041217,10041217
68,10043562,10043562
69,10064187,10064187
70,9960377,9960377
71,10237767,10237767
72,9904897,9904897
73,10125138,10125138
74,9791114,9791114
75,10152814,10152814
76,9873403,9873403
77,10029848,10029848
78,9731114,9731114
79,10211910,10211910
80,10007969,10007969
81,10029780,10029780
82,9911188,9911188
83,9759246,9759246
84,10065325,10065325
85,9813422,9813422
86,10247558,10247558
87,10018581,10018581
88,10115666,10115666
89,9843234,9843234
90,10222507,10222507
91,10199010,10199010
92,9897553,9897553
93,10017733,10017733
94,9939979,9939979
95,10192766,10192766
96,10241082,10241082
97,9799957,9799957
98,9920734,9920734
99,10283105,10283105
