walk_idx,ta_ns,tb_ns
0,9896320,9896320
1,9984147,9984147
2,9968516,9968516
3,9775633,9775633
4,9889897,9889897
5,10028597,10028597
6,10156871,10156871
7,9988454,9988454
8,9936455,9936455
9,9673603,9673603
10,9857903,9857903
11,10047479,10047479
12,10063253,10063253
13,10164882,10164882
14,10136892,10136892
15,9862224,9862224
16,10001046,10001046
17,9875364,9875364
18,9769305,9769305
19,10181998,10181998
20,9896989,9896989
21,9968911,9968911
22,9945061,9945061
23,10195361,10195361
24,10103122,10103122
25,9830059,9830059
26,9923201,9923201
27,10003019,10003019
28,10242735,10242735
29,10204252,10204252
30,10015110,10015110
31,10041815,10041815
32,10077363,10077363
33,10269033,10269033
34,10022790,10022790
35,10139505,10139505
36,9789452,9789452
37,10041229,10041229
38,10119611,10119611
39,9859132,9859132
40,10066589,10066589
41,10031021,10031021
42,9953282,9953282
43,9870607,9870607
44,10169866,10169866
45,10075192,10075192
46,9759464,9759464
47,9812560,9812560
48,10050565,10050565
49,9860166,9860166
50,10068268,10068268
51,10096758,10096758
52,10236533,10236533
53,10095634,10095634
54,9973341,9973341
55,10019032,10019032
56,9980645,9980645
57,10111573,10111573
58,9943454,9943454
59,10141432,10141432
60,10008023,10008023
61,9999935,9999935
62,10088370,10088370
63,10161569,10161569
64,10256791,10256791
65,10109501,10109501
66,9870149,9870149
67,9975607,9975607
68,10120773,10120773
69,9990775,9990775
70,9984531,9984531
71,10007455,10007455
72,9836869,9836869
73,9984943,9984943
74,10110836,10110836
75,9794796,9794796
76,9955092,9955092
77,10168102,10168102
78,9896839,9896839
79,9574187,9574187
80,10053616,10053616
81,9955638,9955638
82,10045319,10045319
83,10036958,10036958
84,9950028,9950028
85,10314194,10314194
86,10085655,10085655
87,9910065,9910065
88,10099222,10099222
89,10084332,10084332
90,10052357,10052357
91,9873217,9873217
92,9857826,9857826
93,10086831,10086831
94,10209076,10209076
95,9810683,9810683
96,10370158,10370158
97,10218938,10218938
98,10002403,10002403
99,9828746,9828746
