host,size,shuffle,variant,reference,tm_med,tr_med,tm_ratio,tr_ratio,tm_w1_pct,tr_w1_pct,delta_w1_pct,tr_gt_tm_w1
c920bn3,32,0,cgt_current,cntvcto_current,580.0,540.0,1.0,0.9818181818181818,0.0,1.7241379310344827,-1.7241379310344827,True
c920bn3,32,0,cntvct_current,cntvcto_current,580.0,550.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,32,0,cntvcto_current,cntvcto_current,580.0,550.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,32,0,papi_time_only,cntvcto_current,720.0,540.0,1.2413793103448276,0.9818181818181818,24.75045232252844,1.1116155172413795,23.63883680528706,False
c920bn3,32,0,papix6_current,cntvcto_current,740.0,550.0,1.2758620689655173,1.0,27.74030159567819,1.0000448275862066,26.74025676809198,False
c920bn3,32,0,papix6_read_before_ns0,cntvcto_current,720.0,540.0,1.2413793103448276,0.9818181818181818,24.535000522066483,1.3633672413793103,23.17163328068717,False
c920bn3,32,0,wtime_current,cntvcto_current,579.0,529.0,0.9982758620689656,0.9618181818181818,0.1724137931034483,3.620689655172414,-3.4482758620689657,True
c920bn3,32,1,cgt_current,cntvcto_current,580.0,540.0,1.0,0.9818181818181818,0.0,1.7241379310344827,-1.7241379310344827,True
c920bn3,32,1,cntvct_current,cntvcto_current,580.0,550.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,32,1,cntvcto_current,cntvcto_current,580.0,550.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,32,1,papi_time_only,cntvcto_current,720.0,540.0,1.2413793103448276,0.9818181818181818,24.67305612105057,1.189014328227051,23.48404179282352,False
c920bn3,32,1,papix6_current,cntvcto_current,740.0,550.0,1.2758620689655173,1.0,27.374354133531593,1.025597577321715,26.348756556209878,False
c920bn3,32,1,papix6_read_before_ns0,cntvcto_current,720.0,540.0,1.2413793103448276,0.9818181818181818,24.651920417415237,1.2635034482758645,23.38841696913937,False
c920bn3,32,1,wtime_current,cntvcto_current,579.0,529.0,0.9982758620689656,0.9618181818181818,0.1724137931034483,3.620689655172414,-3.4482758620689657,True
c920bn3,32,2,cgt_current,cntvcto_current,580.0,540.0,1.0,0.9818181818181818,0.0,1.7241379310344827,-1.7241379310344827,True
c920bn3,32,2,cntvct_current,cntvcto_current,580.0,550.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,32,2,cntvcto_current,cntvcto_current,580.0,550.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,32,2,papi_time_only,cntvcto_current,720.0,540.0,1.2413793103448276,0.9818181818181818,24.670842478431513,1.1912281191167087,23.479614359314805,False
c920bn3,32,2,papix6_current,cntvcto_current,740.0,550.0,1.2758620689655173,1.0,27.351427683795244,1.2389862068965518,26.11244147689869,False
c920bn3,32,2,papix6_read_before_ns0,cntvcto_current,720.0,540.0,1.2413793103448276,0.9818181818181818,24.76419817881711,1.741310362000022,23.02288781681709,False
c920bn3,32,2,wtime_current,cntvcto_current,579.0,529.0,0.9982758620689656,0.9618181818181818,0.1724137931034483,3.620689655172414,-3.4482758620689657,True
c920bn3,64,0,cgt_current,cntvcto_current,2210.0,2140.0,1.0045454545454546,1.0,0.5213313820016187,0.19265954545454544,0.3286718365470732,False
c920bn3,64,0,cntvct_current,cntvcto_current,2200.0,2140.0,1.0,1.0,0.001088058564923414,0.0010881818181818215,-1.232532584073947e-07,True
c920bn3,64,0,cntvcto_current,cntvcto_current,2200.0,2140.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,64,0,papi_time_only,cntvcto_current,2350.0,2140.0,1.0681818181818181,1.0,6.545649193116952,0.27253227272727265,6.273116920389679,False
c920bn3,64,0,papix6_current,cntvcto_current,2340.0,2120.0,1.0636363636363637,0.9906542056074766,6.716558543276991,0.7428945454545456,5.973663997822446,False
c920bn3,64,0,papix6_read_before_ns0,cntvcto_current,2340.0,2139.0,1.0636363636363637,0.9995327102803738,6.231939269294242,0.21088999999999994,6.021049269294242,False
c920bn3,64,0,wtime_current,cntvcto_current,2199.0,2120.0,0.9995454545454545,0.9906542056074766,0.22115277890465546,0.8310759090909092,-0.6099231301862538,True
c920bn3,64,1,cgt_current,cntvcto_current,2210.0,2140.0,1.0045454545454546,1.0,0.5242948051729608,0.19822272727272727,0.3260720779002335,False
c920bn3,64,1,cntvct_current,cntvcto_current,2200.0,2140.0,1.0,1.0,0.0024202824428548094,0.0024199999999999474,2.8244285486204307e-07,False
c920bn3,64,1,cntvcto_current,cntvcto_current,2200.0,2140.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,64,1,papi_time_only,cntvcto_current,2350.0,2140.0,1.0681818181818181,1.0,6.4212018388374075,0.4741017092644366,5.947100129572971,False
c920bn3,64,1,papix6_current,cntvcto_current,2340.0,2119.0,1.0636363636363637,0.9901869158878505,6.749538523212712,0.5686436363636364,6.180894886849075,False
c920bn3,64,1,papix6_read_before_ns0,cntvcto_current,2340.0,2139.0,1.0636363636363637,0.9995327102803738,6.227442024164178,0.2104870909090909,6.016954933255088,False
c920bn3,64,1,wtime_current,cntvcto_current,2199.0,2120.0,0.9995454545454545,0.9906542056074766,0.21987900077721773,0.8355931818181818,-0.6157141810409641,True
c920bn3,64,2,cgt_current,cntvcto_current,2210.0,2140.0,1.0045454545454546,1.0,0.5190168765547508,0.19062863636363633,0.32838824019111446,False
c920bn3,64,2,cntvct_current,cntvcto_current,2200.0,2140.0,1.0,1.0,0.0061240105437482765,0.0061245454545454485,-5.349107971720085e-07,True
c920bn3,64,2,cntvcto_current,cntvcto_current,2200.0,2140.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,64,2,papi_time_only,cntvcto_current,2350.0,2140.0,1.0681818181818181,1.0,6.553696447728743,0.2644853162174113,6.289211131511332,False
c920bn3,64,2,papix6_current,cntvcto_current,2340.0,2120.0,1.0636363636363637,0.9906542056074766,6.729960909185043,0.5590004545454547,6.170960454639588,False
c920bn3,64,2,papix6_read_before_ns0,cntvcto_current,2340.0,2130.0,1.0636363636363637,0.9953271028037384,6.23328328320528,0.6873913636363637,5.545891919568916,False
c920bn3,64,2,wtime_current,cntvcto_current,2199.0,2120.0,0.9995454545454545,0.9906542056074766,0.22032974240136163,0.8324240909090909,-0.6120943485077293,True
c920bn3,128,0,cgt_current,cntvcto_current,8660.0,8470.0,1.001156069364162,1.0011820330969268,0.10003062795046391,0.10003063583815029,-7.887686379048908e-09,True
c920bn3,128,0,cntvct_current,cntvcto_current,8650.0,8460.0,1.0,1.0,0.0003416799174800662,0.0003416184971098249,6.14203702413137e-08,False
c920bn3,128,0,cntvcto_current,cntvcto_current,8650.0,8460.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,128,0,papi_time_only,cntvcto_current,8820.0,8481.0,1.0196531791907515,1.002482269503546,1.986533328055951,0.26399052023121383,1.7225428078247371,False
