host,np,size,timer,kernel,n,median_ns,p10_ns,p90_ns,ref_median_ns,ratio_to_tsc,interaction_i_timer,gemm_ratio_to_tsc,dsub_ratio_to_tsc,checksum_min,checksum_max
camd9554n1,64,64,cgt,dsub,32000,2564.0,2563.0,2573.0,2553.0,1.0043086564825696,0.605973852213757,0.6085847853803655,1.0043086564825696,260.0,2256.0
camd9554n1,64,64,papi,dsub,32000,3074.5,3055.0,3085.0,2553.0,1.2042694868781825,0.6821599910481991,0.8215044623884403,1.2042694868781825,260.0,2256.0
camd9554n1,64,64,tsc,dsub,32000,2553.0,2553.0,2573.0,2553.0,1.0,1.0,1.0,1.0,260.0,2256.0
camd9554n1,64,64,wtime,dsub,32000,2564.0,2563.0,2584.0,2553.0,1.0043086564825696,0.605973852213757,0.6085847853803655,1.0043086564825696,260.0,2256.0
camd9554n1,64,64,cgt,gemm,32000,1432.0,1422.0,1443.0,2353.0,0.6085847853803655,0.605973852213757,0.6085847853803655,1.0043086564825696,2.6073787125000004e-24,2.3452560539062535e-23
camd9554n1,64,64,papi,gemm,32000,1933.0,1923.0,1963.0,2353.0,0.8215044623884403,0.6821599910481991,0.8215044623884403,1.2042694868781825,2.6073787125000004e-24,2.3452560539062535e-23
camd9554n1,64,64,tsc,gemm,32000,2353.0,2343.0,2353.0,2353.0,1.0,1.0,1.0,1.0,2.6073787125000004e-24,2.3452560539062535e-23
camd9554n1,64,64,wtime,gemm,32000,1432.0,1422.0,1443.0,2353.0,0.6085847853803655,0.605973852213757,0.6085847853803655,1.0043086564825696,2.6073787125000004e-24,2.3452560539062535e-23
cgnr6760pn2,64,64,cgt,dsub,32000,4368.0,4360.0,4377.0,4362.0,1.0013755158184319,0.9191657804561031,0.9204301075268817,1.0013755158184319,260.0,2256.0
cgnr6760pn2,64,64,papi,dsub,32000,4531.0,4521.0,4541.0,4362.0,1.038743695552499,0.8498686468129943,0.8827956989247312,1.038743695552499,260.0,2256.0
cgnr6760pn2,64,64,tsc,dsub,32000,4362.0,4354.0,4371.0,4362.0,1.0,1.0,1.0,1.0,260.0,2256.0
cgnr6760pn2,64,64,wtime,dsub,32000,4373.0,4365.0,4382.0,4362.0,1.0025217790004586,0.8561742510862107,0.8583333333333333,1.0025217790004586,260.0,2256.0
cgnr6760pn2,64,64,cgt,gemm,32000,3424.0,3185.0,3460.0,3720.0,0.9204301075268817,0.9191657804561031,0.9204301075268817,1.0013755158184319,2.6073787125000004e-24,2.3452560539062535e-23
cgnr6760pn2,64,64,papi,gemm,32000,3284.0,3272.0,3299.0,3720.0,0.8827956989247312,0.8498686468129943,0.8827956989247312,1.038743695552499,2.6073787125000004e-24,2.3452560539062535e-23
cgnr6760pn2,64,64,tsc,gemm,32000,3720.0,3498.0,3780.0,3720.0,1.0,1.0,1.0,1.0,2.6073787125000004e-24,2.3452560539062535e-23
cgnr6760pn2,64,64,wtime,gemm,32000,3193.0,3167.0,3228.0,3720.0,0.8583333333333333,0.8561742510862107,0.8583333333333333,1.0025217790004586,2.6073787125000004e-24,2.3452560539062535e-23
