host,kernel,size,nsamp,timer,tm_median,tf_median,tr_median,tm_n,tf_n
c920bn3,hpcg_spmv,16,5831,cgt,4020.0,4130.0,3880.0,3072,3072
camd9554n1,hpcg_spmv,16,4931,cgt,3185.0,3225.0,3133.0,3072,3072
cgnr6760pn2,hpcg_spmv,16,5438,cgt,4944.0,4996.0,4825.0,3072,3072
c920bn3,npb_ep,64,1045,cgt,721.0,760.0,681.0,12288,12288
camd9554n1,npb_ep,64,1023,cgt,661.0,691.0,620.0,12288,12288
cgnr6760pn2,npb_ep,64,983,cgt,894.0,932.0,839.0,12288,12288
c920bn3,npb_ft_fft,256,20935,cgt,14431.0,14731.0,14121.0,1536,1536
camd9554n1,npb_ft_fft,256,23836,cgt,15395.0,15444.0,15285.0,1536,1536
cgnr6760pn2,npb_ft_fft,256,19701,cgt,17910.0,17995.0,17548.0,1536,1536
c920bn3,openblas_axpy,128,130,cgt,90.0,110.0,70.0,24576,24576
camd9554n1,openblas_axpy,128,108,cgt,70.0,90.0,50.0,24576,24576
cgnr6760pn2,openblas_axpy,128,121,cgt,110.0,145.0,73.0,24576,24576
c920bn3,openblas_dot,128,174,cgt,120.0,140.0,100.0,24576,24576
camd9554n1,openblas_dot,128,218,cgt,141.0,160.0,121.0,24576,24576
cgnr6760pn2,openblas_dot,128,157,cgt,143.0,181.0,100.0,24576,24576
c920bn3,openblas_gemm,32,855,cgt,590.0,630.0,550.0,6144,6144
camd9554n1,openblas_gemm,32,1131,cgt,731.0,761.0,701.0,6144,6144
cgnr6760pn2,openblas_gemm,32,1379,cgt,1254.0,1292.0,1212.0,6144,6144
c920bn3,openblas_gemv,128,174,cgt,120.0,140.0,100.0,24576,24576
camd9554n1,openblas_gemv,128,232,cgt,150.0,180.0,120.0,24576,24576
cgnr6760pn2,openblas_gemv,128,159,cgt,145.0,186.0,99.0,24576,24576
c920bn3,stream_triad,64,87,cgt,60.0,80.0,40.0,11904,11904
camd9554n1,stream_triad,64,77,cgt,50.0,70.0,30.0,11904,11904
cgnr6760pn2,stream_triad,64,71,cgt,65.0,101.0,21.0,11904,11904
