kernel,host,np,size,nsampRatio,n_timer,tm_median_center_ns,tr_median_center_ns,tm_min_ns,tm_max_ns,tr_min_ns,tr_max_ns,tm_spread_pct,tr_spread_pct,spread_delta_pct,spread_reduction_pct,tm_min_timer,tm_max_timer,tr_min_timer,tr_max_timer
openblas_gemv,c920bn3,64,64,0.5,5,75.0,45.5,65.5,203.58324151526307,43.32027945946306,55.0,184.11098868701743,25.669715473707562,-158.44127321330987,86.05747779816379,cntvcto,papix6,papi,wtime
openblas_gemv,c920bn3,64,128,0.5,5,115.5,91.39479716215243,105.5,251.3947991586615,80.75718952013176,95.5,126.31584342741256,16.1309078171174,-110.18493561029517,87.2297034327392,cntvcto,papi,papix6,cgt
openblas_gemv,c920bn3,64,256,0.5,5,207.33984899678808,175.2449771476346,195.5,339.02778978900517,168.81790669949277,177.8941177770796,69.22344666665045,5.179156187706657,-64.0442904789438,92.51820526555521,cntvcto,papix6,papi,wtime
openblas_gemv,c920bn3,64,512,0.5,5,386.1256583222401,346.31069702337993,377.67306124892366,516.9829761748853,344.7784070838296,347.6911167512691,36.078906419034425,0.8410683506096887,-35.237838068424736,97.66880863615656,cntvcto,papix6,cgt,cntvcto
openblas_gemv,c920bn3,64,1024,0.5,5,1251.105607693199,1050.664340576995,1120.9571959972754,1285.8974998167018,914.8901954467353,1196.3403673309886,13.183563626059112,26.787829472701887,13.604265846642773,-103.19111154249741,cntvcto,wtime,papi,wtime
openblas_gemv,c920bn3,64,2048,0.5,5,3245.375350385424,2941.1507651841225,3011.9790866065287,3330.1592244713447,2918.4277504105094,3229.576336621861,9.804109032473814,10.579144391187754,0.7750353587139408,-7.905209500902303,cntvcto,cgt,papi,cgt
openblas_gemv,camd9554n1,64,64,0.5,5,86.0,65.45276523965238,84.6926928095892,686.4527679919147,57.0,74.55817851351205,699.7210176538669,26.825724549946152,-672.8952931039207,96.16622569950927,tsc,papix6,cgt,tsc
openblas_gemv,camd9554n1,64,128,0.5,5,152.82001695807696,126.75429083329743,145.5,747.7542872152801,125.0,135.5,394.09384922427813,8.283743241330752,-385.8101059829474,97.89802777748595,tsc,papix6,cgt,tsc
openblas_gemv,camd9554n1,64,256,0.5,5,275.5,252.44765482570023,270.0,873.4476531014211,249.0,258.486947075398,219.03726065387335,3.7579858216342585,-215.2792748322391,98.28431664529778,cgt,papi,cgt,tsc
openblas_gemv,camd9554n1,64,512,0.5,5,523.9065630115427,497.1749187799194,517.174916481229,1126.7084199004485,482.4480795807507,505.7084274629211,116.34393352804595,4.678503883351951,-111.66542964469399,95.97872983878084,tsc,papi,cgt,papi
openblas_gemv,camd9554n1,64,1024,0.5,5,1021.4241319656605,995.4034181349657,1015.4161115371699,1719.5823827020372,986.1452293899913,1069.3627199821785,68.93965485324375,8.360177298577838,-60.57947755466591,87.87319530918063,tsc,papix6,cgt,papix6
openblas_gemv,camd9554n1,64,2048,0.5,5,3223.6797644726867,3050.583160514309,3173.351266812637,3228.497555145061,2575.071628307163,3207.887791107975,1.710662732079558,20.74410463519779,19.03344190311823,-1112.6355620070315,tsc,wtime,papix6,wtime
openblas_gemv,cgnr6760pn2,64,64,0.5,5,89.0,50.0,85.0,248.6680348418447,48.820706785593316,68.0,183.89666836162326,38.35858642881337,-145.53808193280992,79.14122818506794,tsc,papi,papix6,wtime
openblas_gemv,cgnr6760pn2,64,128,0.5,5,151.0,107.93908316980907,145.31603762014913,307.93907038106204,104.33225835004995,131.0,107.6973726893463,24.70628883144813,-82.99108385789816,77.05952502414932,cgt,papi,cgt,wtime
openblas_gemv,cgnr6760pn2,64,256,0.5,5,263.4758407908942,224.8933235551293,258.5675962522566,425.5096204120046,213.4299124591264,227.35288922195753,63.36141623407529,6.190924898407717,-57.170491335667585,90.22918794059676,tsc,papix6,cgt,tsc
openblas_gemv,cgnr6760pn2,64,512,0.5,5,521.9309459901099,487.6326149313144,514.2016139701018,694.650446772406,443.12425058501344,488.2567806183962,34.57331552931593,9.255437116268341,-25.31787841304759,73.22953562720842,cgt,papi,cgt,papix6
openblas_gemv,cgnr6760pn2,64,1024,0.5,5,1231.2241011923652,1153.9489477474594,1198.089679078609,1396.1770938204131,1053.8103354880645,1160.9491166956955,16.088656366454217,9.28453389699508,-6.804122469459137,42.29142766481188,tsc,papi,cgt,wtime
openblas_gemv,cgnr6760pn2,64,2048,0.5,5,3302.0131578947367,3159.6453451551615,3111.8755638512985,3432.500516092709,2914.5096909376634,3213.151458137347,9.709984088792403,9.451749629356526,-0.2582344594358771,2.659473559116746,tsc,papix6,cgt,wtime
