kernel,host,np,size,nsampRatio,n_timer,tm_median_center_ns,tr_median_center_ns,tm_min_ns,tm_max_ns,tr_min_ns,tr_max_ns,tm_spread_pct,tr_spread_pct,spread_delta_pct,spread_reduction_pct,tm_min_timer,tm_max_timer,tr_min_timer,tr_max_timer
stream_triad,c920bn3,64,64,0.5,5,63.60860378765516,35.02971791352744,54.006827159260055,209.19024976158343,29.19025321703937,42.56131706344601,243.96608848760897,38.170629519237814,-205.79545896837118,84.35412488847749,cntvcto,papix6,papix6,cgt
stream_triad,c920bn3,64,128,0.5,5,110.70926517571885,64.97247415200437,80.0,244.9724693599637,60.0,89.87148305787409,149.0141489947727,45.975597278301535,-103.03855171647116,69.1468242522968,cntvcto,papix6,cntvcto,cgt
stream_triad,c920bn3,64,256,0.5,5,232.59722378087207,139.49675628735378,158.93326989278293,322.5956393440149,134.286340843179,186.5420343706456,70.36299350048,37.460149553458756,-32.90284394702125,46.76157495601263,cntvcto,papix6,cntvcto,cgt
stream_triad,c920bn3,64,512,0.5,5,1427.3772123893805,1187.754215304799,1042.9735241255357,1531.658631144689,962.0716426858512,1401.6412360559048,34.23657760383544,37.00846418442322,2.7718865805877737,-8.096272392241817,cntvcto,cgt,cntvcto,cgt
stream_triad,c920bn3,64,1024,0.5,5,5649.247846389179,5306.404347826086,4675.642125943543,5807.82882261679,4556.566488469809,5632.790879654614,20.041370594085457,20.281612946169663,0.24024235208420786,-1.1987321473667445,cntvcto,cgt,cntvcto,cgt
stream_triad,c920bn3,64,2048,0.5,5,11853.116374148754,11285.181395042484,10718.453411979619,12025.005839809532,10502.783714792542,11753.812290648137,11.022860036027819,11.08558677138468,0.06272673535686196,-0.5690604357838338,cntvcto,wtime,cntvcto,cgt
stream_triad,camd9554n1,64,64,0.5,5,54.60025686131553,26.0,46.0,651.3239362521173,16.059983306638994,44.35000158199956,1108.6466823583598,108.80776259754063,-999.8389197608191,90.18553301705822,cgt,papix6,papi,tsc
stream_triad,camd9554n1,64,128,0.5,5,95.5,52.59288887703751,74.88809547500453,673.7253738062434,40.57541252065631,85.5,627.0547417081035,85.41950906020327,-541.6352326479002,86.37766316422078,cgt,papix6,papi,tsc
stream_triad,camd9554n1,64,256,0.5,5,178.8552141106154,113.12607912716487,133.4371182275171,747.0035400861515,86.00353980167468,158.7795387581518,343.0520183097184,64.33176109168402,-278.72025721803436,81.24722850818408,cgt,papix6,papix6,tsc
stream_triad,camd9554n1,64,512,0.5,5,939.7849478810864,710.0347936329058,767.7130085244992,1347.2670736957457,628.3811406257532,896.2314962562907,61.668796300467996,37.72355355433729,-23.945242746130706,38.82878243554916,wtime,papix6,papi,cgt
stream_triad,camd9554n1,64,1024,0.5,5,6713.461589965629,6674.122123971669,6618.281358857179,6748.089557310426,5898.850014675668,6701.902127659574,1.9335509217371107,12.032325721154502,10.098774799417392,-522.291638967781,papix6,cgt,papix6,cgt
stream_triad,camd9554n1,64,2048,0.5,5,16026.733890049914,15934.816714523704,15901.310560496087,16119.200706153988,15118.104916968496,16048.764191266528,1.359541795307253,5.840414050384323,4.48087225507707,-329.58694396477927,papix6,tsc,papix6,tsc
stream_triad,cgnr6760pn2,64,64,0.5,5,65.5,27.5,59.5,235.64207718700692,26.75273027827308,36.642068446631555,268.9192018122243,35.961229703121724,-232.95797210910257,86.62749648936112,tsc,papi,papix6,papi
stream_triad,cgnr6760pn2,64,128,0.5,5,106.0268610172412,69.02686239443972,97.0,272.47642988802994,64.0,71.68298436033268,165.50186264544362,11.130426755354833,-154.3714358900888,93.27474230353549,tsc,papix6,tsc,papi
stream_triad,cgnr6760pn2,64,256,0.5,5,186.86808656393026,149.3249194607277,181.79951036525173,356.93733605897495,148.35741777234662,154.8762248418692,93.72270509860763,4.365518557160193,-89.35718654144745,95.34209074250776,tsc,papix6,tsc,papi
stream_triad,cgnr6760pn2,64,512,0.5,5,798.0889706340795,658.9575749639911,539.2929238613053,929.1566349652135,500.79125172227356,746.3228083829006,48.84965529521884,37.26060159093613,-11.589053704282708,23.723921149996297,tsc,papi,tsc,cgt
stream_triad,cgnr6760pn2,64,1024,0.5,5,3483.932908620346,3363.3843000755683,3057.53168307941,3729.083287062743,2991.911879049676,3396.9879298422074,19.27567555396095,12.043704038917893,-7.2319715150430595,37.518641018820034,tsc,papix6,tsc,cgt
stream_triad,cgnr6760pn2,64,2048,0.5,5,8544.994037093391,8429.239796521944,7912.597445414394,8882.210460382086,7818.080047211795,8454.700662277231,11.347146771064445,7.552527041977347,-3.794619729087097,33.441179581491696,tsc,papi,tsc,papi
